tso,direction,horizon_block,group,share,n_predictions
50Hertz,down,early,calendar,0.023267931468445788,3213
50Hertz,down,early,data_driven,0.010345088040736717,3213
50Hertz,down,early,day_ahead_price,0.013540536627975303,3213
50Hertz,down,early,production_consumption,0.11996380695758004,3213
50Hertz,down,early,runlength,0.010981011949060562,3213
50Hertz,down,early,sce,0.04639719784912023,3213
50Hertz,down,early,target_lags/basic,0.7536291277306751,3213
50Hertz,down,early,wind_pv,0.02187529937640623,3213
50Hertz,down,late,calendar,0.02985902541865837,2499
50Hertz,down,late,data_driven,0.012614099591915699,2499
50Hertz,down,late,day_ahead_price,0.017485514980056707,2499
50Hertz,down,late,production_consumption,0.16324439994893408,2499
50Hertz,down,late,runlength,0.015712419576851083,2499
50Hertz,down,late,sce,0.06771270575930088,2499
50Hertz,down,late,target_lags/basic,0.6628901001555236,2499
50Hertz,down,late,wind_pv,0.030481734568759616,2499
50Hertz,down,middle,calendar,0.0310404867412998,2856
50Hertz,down,middle,data_driven,0.01316678968894615,2856
50Hertz,down,middle,day_ahead_price,0.018548684468401834,2856
50Hertz,down,middle,production_consumption,0.16334901700633458,2856
50Hertz,down,middle,runlength,0.014575250027212966,2856
50Hertz,down,middle,sce,0.06760464653971653,2856
50Hertz,down,middle,target_lags/basic,0.6572632120284682,2856
50Hertz,down,middle,wind_pv,0.03445191349962004,2856
50Hertz,up,early,calendar,0.03847664502212252,3213
50Hertz,up,early,data_driven,0.017031215350479068,3213
50Hertz,up,early,day_ahead_price,0.022295513243699938,3213
50Hertz,up,early,production_consumption,0.2039984139126378,3213
50Hertz,up,early,runlength,0.017189180809462256,3213
50Hertz,up,early,sce,0.08265302551019188,3213
50Hertz,up,early,target_lags/basic,0.5655786389857042,3213
50Hertz,up,early,wind_pv,0.05277736716570238,3213
50Hertz,up,late,calendar,0.04485727850957861,2499
50Hertz,up,late,data_driven,0.01926292441203124,2499
50Hertz,up,late,day_ahead_price,0.026450258905918077,2499
50Hertz,up,late,production_consumption,0.2634639507498023,2499
50Hertz,up,late,runlength,0.023779455416862754,2499
50Hertz,up,late,sce,0.10679713868575018,2499
50Hertz,up,late,target_lags/basic,0.45683313919229523,2499
