tso,direction,horizon_block,rank,feature,raw_feature,group,share,n_predictions
50Hertz,down,overall,1,y_lag24,y_lag24,target_lags/basic,0.6761764585971832,8568
50Hertz,down,overall,2,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.010687483251482869,8568
50Hertz,down,overall,3,residual_load_forecast_de_50hzt,futr_exog_residual_load_forecast_de_50hzt,production_consumption,0.009065110605054846,8568
50Hertz,down,overall,4,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.008824871154502034,8568
50Hertz,down,overall,5,production_thermal_gas_de_50hzt_lag_1h,hist_exog_production_thermal_gas_de_50hzt_lag_1h,production_consumption,0.008693087622911358,8568
50Hertz,down,early,1,y_lag24,y_lag24,target_lags/basic,0.7375846174028184,3213
50Hertz,down,early,2,residual_load_forecast_de_50hzt,futr_exog_residual_load_forecast_de_50hzt,production_consumption,0.007231755647808313,3213
50Hertz,down,early,3,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.007197740513624417,3213
50Hertz,down,early,4,production_thermal_gas_de_50hzt_lag_1h,hist_exog_production_thermal_gas_de_50hzt_lag_1h,production_consumption,0.006934236967936158,3213
50Hertz,down,early,5,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.006405348268647988,3213
50Hertz,down,middle,1,y_lag24,y_lag24,target_lags/basic,0.637364499270916,2856
50Hertz,down,middle,2,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.012207315536215901,2856
50Hertz,down,middle,3,pv_forecast_de_50hzt,futr_exog_pv_forecast_de_50hzt,wind_pv,0.012178118282463402,2856
50Hertz,down,middle,4,residual_load_forecast_de_50hzt,futr_exog_residual_load_forecast_de_50hzt,production_consumption,0.011555957957170904,2856
50Hertz,down,middle,5,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.009811677737161517,2856
50Hertz,down,late,1,y_lag24,y_lag24,target_lags/basic,0.641579636505672,2499
50Hertz,down,late,2,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.01343734416046313,2499
50Hertz,down,late,3,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.010807907341846399,2499
50Hertz,down,late,4,sce_forecast_net_flow_at,futr_exog_sce_forecast_net_flow_at,sce,0.010771055173661028,2499
50Hertz,down,late,5,production_thermal_gas_de_50hzt_lag_1h,hist_exog_production_thermal_gas_de_50hzt_lag_1h,production_consumption,0.010057351818042142,2499
50Hertz,up,overall,1,y_lag24,y_lag24,target_lags/basic,0.4567943513393402,8568
50Hertz,up,overall,2,residual_load_forecast_de_50hzt,futr_exog_residual_load_forecast_de_50hzt,production_consumption,0.022793609842968483,8568
50Hertz,up,overall,3,pv_forecast_de_50hzt,futr_exog_pv_forecast_de_50hzt,wind_pv,0.021200169033060472,8568
50Hertz,up,overall,4,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.020371856167912483,8568
50Hertz,up,overall,5,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.017318326494811725,8568
50Hertz,up,early,1,y_lag24,y_lag24,target_lags/basic,0.5462169415420957,3213
50Hertz,up,early,2,residual_load_forecast_de_50hzt,futr_exog_residual_load_forecast_de_50hzt,production_consumption,0.019606024337311585,3213
50Hertz,up,early,3,pv_forecast_de_50hzt,futr_exog_pv_forecast_de_50hzt,wind_pv,0.017862363614969783,3213
50Hertz,up,early,4,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.016838468404279813,3213
50Hertz,up,early,5,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.012773406743589375,3213
50Hertz,up,middle,1,y_lag24,y_lag24,target_lags/basic,0.379777267575264,2856
50Hertz,up,middle,2,pv_forecast_de_50hzt,futr_exog_pv_forecast_de_50hzt,wind_pv,0.030266857938840985,2856
50Hertz,up,middle,3,residual_load_forecast_de_50hzt,futr_exog_residual_load_forecast_de_50hzt,production_consumption,0.029315782943740487,2856
50Hertz,up,middle,4,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.02405635197646916,2856
50Hertz,up,middle,5,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.019913587952032685,2856
50Hertz,up,late,1,y_lag24,y_lag24,target_lags/basic,0.42984197395188467,2499
50Hertz,up,late,2,wind_forecast_total_de_50hzt,futr_exog_wind_forecast_total_de_50hzt,wind_pv,0.020703930939946855,2499
50Hertz,up,late,3,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.020195781652416502,2499
50Hertz,up,late,4,residual_load_forecast_de_50hzt,futr_exog_residual_load_forecast_de_50hzt,production_consumption,0.019438021949359348,2499
50Hertz,up,late,5,sce_forecast_net_flow_at,futr_exog_sce_forecast_net_flow_at,sce,0.016466336457857063,2499
Amprion,down,overall,1,y_lag24,y_lag24,target_lags/basic,0.3624731885890166,8568
Amprion,down,overall,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.04588271083775908,8568
Amprion,down,overall,3,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.02539164243110766,8568
Amprion,down,overall,4,pv_forecast_de_amprion,futr_exog_pv_forecast_de_amprion,wind_pv,0.024829405185300857,8568
Amprion,down,overall,5,residual_load_forecast_de_amprion,futr_exog_residual_load_forecast_de_amprion,production_consumption,0.021744888566900045,8568
Amprion,down,early,1,y_lag24,y_lag24,target_lags/basic,0.4849827653831906,3213
Amprion,down,early,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.03801310797118478,3213
Amprion,down,early,3,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.020483725911213294,3213
Amprion,down,early,4,pv_forecast_de_amprion,futr_exog_pv_forecast_de_amprion,wind_pv,0.019099326545579567,3213
Amprion,down,early,5,sce_forecast_net_flow_dk_1,futr_exog_sce_forecast_net_flow_dk_1,sce,0.01771454244024224,3213
Amprion,down,middle,1,y_lag24,y_lag24,target_lags/basic,0.29723166301846504,2856
Amprion,down,middle,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.04946045344695449,2856
Amprion,down,middle,3,pv_forecast_de_amprion,futr_exog_pv_forecast_de_amprion,wind_pv,0.029065663926303387,2856
Amprion,down,middle,4,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.026922758435830474,2856
Amprion,down,middle,5,residual_load_forecast_de_amprion,futr_exog_residual_load_forecast_de_amprion,production_consumption,0.02512892405502498,2856
Amprion,down,late,1,y_lag24,y_lag24,target_lags/basic,0.27952261907713755,2499
Amprion,down,late,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.051911922969988415,2499
Amprion,down,late,3,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.02995197395128863,2499
Amprion,down,late,4,pv_forecast_de_amprion,futr_exog_pv_forecast_de_amprion,wind_pv,0.027355210589511052,2499
Amprion,down,late,5,residual_load_forecast_de_amprion,futr_exog_residual_load_forecast_de_amprion,production_consumption,0.024430531742317334,2499
Amprion,up,overall,1,y_lag24,y_lag24,target_lags/basic,0.5389626609782378,8568
Amprion,up,overall,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.023033440151872735,8568
Amprion,up,overall,3,residual_load_forecast_de_amprion,futr_exog_residual_load_forecast_de_amprion,production_consumption,0.016022744801981997,8568
Amprion,up,overall,4,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.013198453118093312,8568
Amprion,up,overall,5,pv_forecast_de_amprion,futr_exog_pv_forecast_de_amprion,wind_pv,0.012237422614513585,8568
Amprion,up,early,1,y_lag24,y_lag24,target_lags/basic,0.6207494934399923,3213
Amprion,up,early,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.02018909787552224,3213
Amprion,up,early,3,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.011561364763312869,3213
Amprion,up,early,4,residual_load_forecast_de_amprion,futr_exog_residual_load_forecast_de_amprion,production_consumption,0.011142457680155834,3213
Amprion,up,early,5,y_lag23,y_lag23,target_lags/basic,0.011118303673962751,3213
Amprion,up,middle,1,y_lag24,y_lag24,target_lags/basic,0.4839264787733555,2856
Amprion,up,middle,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.024904149351641536,2856
Amprion,up,middle,3,residual_load_forecast_de_amprion,futr_exog_residual_load_forecast_de_amprion,production_consumption,0.019123420352116227,2856
Amprion,up,middle,4,pv_forecast_de_amprion,futr_exog_pv_forecast_de_amprion,wind_pv,0.014292004168964922,2856
Amprion,up,middle,5,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.013974835979752243,2856
Amprion,up,late,1,y_lag24,y_lag24,target_lags/basic,0.4967066560472761,2499
Amprion,up,late,2,production_forecast_other_de_amprion,futr_exog_production_forecast_other_de_amprion,production_consumption,0.02455249827887331,2499
Amprion,up,late,3,residual_load_forecast_de_amprion,futr_exog_residual_load_forecast_de_amprion,production_consumption,0.018753770472747937,2499
Amprion,up,late,4,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.014415986303772246,2499
Amprion,up,late,5,pv_forecast_de_amprion,futr_exog_pv_forecast_de_amprion,wind_pv,0.013807764542954308,2499
TenneT_DE,down,overall,1,y_lag24,y_lag24,target_lags/basic,0.3521287726859252,8568
TenneT_DE,down,overall,2,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.03562641504686326,8568
TenneT_DE,down,overall,3,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.03291235088060299,8568
TenneT_DE,down,overall,4,sce_forecast_net_flow_pl,futr_exog_sce_forecast_net_flow_pl,sce,0.021621418515375506,8568
TenneT_DE,down,overall,5,consumption_forecast_load_de_tennet,futr_exog_consumption_forecast_load_de_tennet,production_consumption,0.01878025586484,8568
TenneT_DE,down,early,1,y_lag24,y_lag24,target_lags/basic,0.480598595407274,3213
TenneT_DE,down,early,2,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.02522553927782509,3213
TenneT_DE,down,early,3,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.024551709079080157,3213
TenneT_DE,down,early,4,sce_forecast_net_flow_pl,futr_exog_sce_forecast_net_flow_pl,sce,0.017496286011818383,3213
TenneT_DE,down,early,5,consumption_forecast_load_de_tennet,futr_exog_consumption_forecast_load_de_tennet,production_consumption,0.01375889079645276,3213
TenneT_DE,down,middle,1,y_lag24,y_lag24,target_lags/basic,0.2795340046286583,2856
TenneT_DE,down,middle,2,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.04013304365798831,2856
TenneT_DE,down,middle,3,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.03887345967814326,2856
TenneT_DE,down,middle,4,consumption_forecast_load_de_tennet,futr_exog_consumption_forecast_load_de_tennet,production_consumption,0.024426026735454798,2856
TenneT_DE,down,middle,5,sce_forecast_net_flow_pl,futr_exog_sce_forecast_net_flow_pl,sce,0.023724569007754326,2856
TenneT_DE,down,late,1,y_lag24,y_lag24,target_lags/basic,0.26991873553821016,2499
TenneT_DE,down,late,2,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.0452880614570209,2499
TenneT_DE,down,late,3,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.03540952716554914,2499
TenneT_DE,down,late,4,sce_forecast_net_flow_pl,futr_exog_sce_forecast_net_flow_pl,sce,0.024521559742944583,2499
TenneT_DE,down,late,5,consumption_forecast_load_de_tennet,futr_exog_consumption_forecast_load_de_tennet,production_consumption,0.018783987100635256,2499
TenneT_DE,up,overall,1,y_lag24,y_lag24,target_lags/basic,0.3470052232344945,8568
TenneT_DE,up,overall,2,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.04275690073457857,8568
TenneT_DE,up,overall,3,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.03704871144145727,8568
TenneT_DE,up,overall,4,production_forecast_other_de_tennet,futr_exog_production_forecast_other_de_tennet,production_consumption,0.020650116047666717,8568
TenneT_DE,up,overall,5,sce_forecast_net_flow_pl,futr_exog_sce_forecast_net_flow_pl,sce,0.018667178441925596,8568
TenneT_DE,up,early,1,y_lag24,y_lag24,target_lags/basic,0.47864686449368793,3213
TenneT_DE,up,early,2,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.031166363714469805,3213
TenneT_DE,up,early,3,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.02825311033262147,3213
TenneT_DE,up,early,4,production_forecast_other_de_tennet,futr_exog_production_forecast_other_de_tennet,production_consumption,0.01588828432270222,3213
TenneT_DE,up,early,5,sce_forecast_net_flow_pl,futr_exog_sce_forecast_net_flow_pl,sce,0.015872724302526977,3213
TenneT_DE,up,middle,1,y_lag24,y_lag24,target_lags/basic,0.2767026945948601,2856
TenneT_DE,up,middle,2,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.04651035647839308,2856
TenneT_DE,up,middle,3,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.04520833771675825,2856
TenneT_DE,up,middle,4,production_forecast_other_de_tennet,futr_exog_production_forecast_other_de_tennet,production_consumption,0.024413018953055143,2856
TenneT_DE,up,middle,5,consumption_forecast_load_de_tennet,futr_exog_consumption_forecast_load_de_tennet,production_consumption,0.023741948883980513,2856
TenneT_DE,up,late,1,y_lag24,y_lag24,target_lags/basic,0.2580974314893995,2499
TenneT_DE,up,late,2,wind_forecast_total_de_tennet,futr_exog_wind_forecast_total_de_tennet,wind_pv,0.05336935605321612,2499
TenneT_DE,up,late,3,residual_load_forecast_de_tennet,futr_exog_residual_load_forecast_de_tennet,production_consumption,0.039032054266759326,2499
TenneT_DE,up,late,4,production_forecast_other_de_tennet,futr_exog_production_forecast_other_de_tennet,production_consumption,0.022472010659320012,2499
TenneT_DE,up,late,5,sce_forecast_net_flow_pl,futr_exog_sce_forecast_net_flow_pl,sce,0.02030600793659687,2499
TransnetBW,down,overall,1,y_lag24,y_lag24,target_lags/basic,0.246729988604784,8568
TransnetBW,down,overall,2,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.03129028649224589,8568
TransnetBW,down,overall,3,residual_load_forecast_de_transnetbw,futr_exog_residual_load_forecast_de_transnetbw,production_consumption,0.02836664750551184,8568
TransnetBW,down,overall,4,production_forecast_other_de_transnetbw,futr_exog_production_forecast_other_de_transnetbw,production_consumption,0.023358642162444692,8568
TransnetBW,down,overall,5,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.0218140019569546,8568
TransnetBW,down,early,1,y_lag24,y_lag24,target_lags/basic,0.3652480791012446,3213
TransnetBW,down,early,2,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.024427158033682242,3213
TransnetBW,down,early,3,residual_load_forecast_de_transnetbw,futr_exog_residual_load_forecast_de_transnetbw,production_consumption,0.020854230142301984,3213
TransnetBW,down,early,4,production_forecast_other_de_transnetbw,futr_exog_production_forecast_other_de_transnetbw,production_consumption,0.019281953883667786,3213
TransnetBW,down,early,5,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.016947257849905226,3213
TransnetBW,down,middle,1,y_lag24,y_lag24,target_lags/basic,0.18764634430408478,2856
TransnetBW,down,middle,2,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.03685144381597638,2856
TransnetBW,down,middle,3,residual_load_forecast_de_transnetbw,futr_exog_residual_load_forecast_de_transnetbw,production_consumption,0.03587441425770521,2856
TransnetBW,down,middle,4,production_forecast_other_de_transnetbw,futr_exog_production_forecast_other_de_transnetbw,production_consumption,0.025382771622389555,2856
TransnetBW,down,middle,5,pv_forecast_de_transnetbw,futr_exog_pv_forecast_de_transnetbw,wind_pv,0.02404443547129631,2856
TransnetBW,down,late,1,y_lag24,y_lag24,target_lags/basic,0.16187375145299093,2499
TransnetBW,down,late,2,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.03375870042613575,2499
TransnetBW,down,late,3,residual_load_forecast_de_transnetbw,futr_exog_residual_load_forecast_de_transnetbw,production_consumption,0.02944516496998923,2499
TransnetBW,down,late,4,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.0268939273165805,2499
TransnetBW,down,late,5,production_forecast_other_de_transnetbw,futr_exog_production_forecast_other_de_transnetbw,production_consumption,0.02628680770950658,2499
TransnetBW,up,overall,1,y_lag24,y_lag24,target_lags/basic,0.19095649694403014,8568
TransnetBW,up,overall,2,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.0242269259179011,8568
TransnetBW,up,overall,3,residual_load_forecast_de_transnetbw,futr_exog_residual_load_forecast_de_transnetbw,production_consumption,0.023483805474825203,8568
TransnetBW,up,overall,4,runlength_switches,hist_exog_runlength_switches,runlength,0.02282022824510932,8568
TransnetBW,up,overall,5,production_forecast_other_de_transnetbw,futr_exog_production_forecast_other_de_transnetbw,production_consumption,0.01998345134779811,8568
TransnetBW,up,early,1,y_lag24,y_lag24,target_lags/basic,0.272994253370497,3213
TransnetBW,up,early,2,runlength_switches,hist_exog_runlength_switches,runlength,0.02128194955488046,3213
TransnetBW,up,early,3,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.021027521851162117,3213
TransnetBW,up,early,4,residual_load_forecast_de_transnetbw,futr_exog_residual_load_forecast_de_transnetbw,production_consumption,0.019869989508555994,3213
TransnetBW,up,early,5,sce_forecast_net_flow_nl,futr_exog_sce_forecast_net_flow_nl,sce,0.017031940114167,3213
TransnetBW,up,middle,1,y_lag24,y_lag24,target_lags/basic,0.14806542173027992,2856
TransnetBW,up,middle,2,residual_load_forecast_de_transnetbw,futr_exog_residual_load_forecast_de_transnetbw,production_consumption,0.0294426791369915,2856
TransnetBW,up,middle,3,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.02881836355663836,2856
TransnetBW,up,middle,4,runlength_switches,hist_exog_runlength_switches,runlength,0.023474237648770213,2856
TransnetBW,up,middle,5,production_forecast_other_de_transnetbw,futr_exog_production_forecast_other_de_transnetbw,production_consumption,0.021983295679092407,2856
TransnetBW,up,late,1,y_lag24,y_lag24,target_lags/basic,0.13449775321143015,2499
TransnetBW,up,late,2,consumption_forecast_load_at,futr_exog_consumption_forecast_load_at,production_consumption,0.025198199919291904,2499
TransnetBW,up,late,3,runlength_switches,hist_exog_runlength_switches,runlength,0.02405057581407683,2499
TransnetBW,up,late,4,sce_forecast_net_flow_fr,futr_exog_sce_forecast_net_flow_fr,sce,0.023093088130865778,2499
TransnetBW,up,late,5,sce_forecast_net_flow_cz,futr_exog_sce_forecast_net_flow_cz,sce,0.022261025650160655,2499
