TSO,direction,dominant group,second group,third group,interpretation
50Hertz,down,target_lags/basic (69%),production_consumption (15%),sce (6%),system-state driven
50Hertz,up,target_lags/basic (47%),production_consumption (25%),sce (10%),system-state driven
Amprion,down,target_lags/basic (39%),production_consumption (26%),sce (14%),system-state driven
Amprion,up,target_lags/basic (58%),production_consumption (19%),sce (8%),system-state driven
TenneT_DE,down,target_lags/basic (39%),production_consumption (28%),sce (13%),system-state driven
TenneT_DE,up,target_lags/basic (39%),production_consumption (28%),sce (12%),system-state driven
TransnetBW,down,target_lags/basic (31%),production_consumption (29%),sce (16%),system-state driven
TransnetBW,up,production_consumption (30%),target_lags/basic (28%),sce (15%),system-state driven
