filename,operator,feature_sets,rows,columns,validation_issues
basic_remove_data_driven_remove_runlength_50Hertz.parquet,50Hertz,basic_remove_data_driven_remove_runlength,76992,4,0
basic_day_ahead_price_wind_pv_production_consumption_sce_50Hertz.parquet,50Hertz,basic_day_ahead_price_wind_pv_production_consumption_sce,76992,63,0
basic_remove_data_driven_remove_runlength_TenneT_DE.parquet,TenneT DE,basic_remove_data_driven_remove_runlength,76992,4,0
basic_day_ahead_price_wind_pv_production_consumption_sce_TenneT_DE.parquet,TenneT DE,basic_day_ahead_price_wind_pv_production_consumption_sce,76992,56,0
basic_remove_data_driven_remove_runlength_Amprion.parquet,Amprion,basic_remove_data_driven_remove_runlength,76992,4,0
basic_day_ahead_price_wind_pv_production_consumption_sce_Amprion.parquet,Amprion,basic_day_ahead_price_wind_pv_production_consumption_sce,76992,55,0
basic_remove_data_driven_remove_runlength_TransnetBW.parquet,TransnetBW,basic_remove_data_driven_remove_runlength,76992,4,0
basic_day_ahead_price_wind_pv_production_consumption_sce_TransnetBW.parquet,TransnetBW,basic_day_ahead_price_wind_pv_production_consumption_sce,76992,60,0
