day,Bundesländer,Amprion,TenneT DE,TransnetBW,50Hertz
2020-01-01,Alle Bundesländer,1,1,1,1
2020-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2020-05-01,Alle Bundesländer,1,1,1,1
2020-10-03,Alle Bundesländer,1,1,1,1
2020-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2020-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2020-12-25,Alle Bundesländer,1,1,1,1
2020-12-26,Alle Bundesländer,1,1,1,1
2020-04-10,Alle Bundesländer,1,1,1,1
2020-04-13,Alle Bundesländer,1,1,1,1
2020-05-21,Alle Bundesländer,1,1,1,1
2020-06-01,Alle Bundesländer,1,1,1,1
2020-06-11,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2020-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2020-11-20,Sachsen,0,0,0,1
2021-01-01,Alle Bundesländer,1,1,1,1
2021-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2021-05-01,Alle Bundesländer,1,1,1,1
2021-10-03,Alle Bundesländer,1,1,1,1
2021-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2021-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2021-12-25,Alle Bundesländer,1,1,1,1
2021-12-26,Alle Bundesländer,1,1,1,1
2021-04-02,Alle Bundesländer,1,1,1,1
2021-04-05,Alle Bundesländer,1,1,1,1
2021-05-13,Alle Bundesländer,1,1,1,1
