day,Bundesländer,Amprion,TenneT DE,TransnetBW,50Hertz
2021-05-24,Alle Bundesländer,1,1,1,1
2021-06-03,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2021-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2021-11-20,Sachsen,0,0,0,1
2022-01-01,Alle Bundesländer,1,1,1,1
2022-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2022-05-01,Alle Bundesländer,1,1,1,1
2022-10-03,Alle Bundesländer,1,1,1,1
2022-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2022-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2022-12-25,Alle Bundesländer,1,1,1,1
2022-12-26,Alle Bundesländer,1,1,1,1
2022-04-15,Alle Bundesländer,1,1,1,1
2022-04-18,Alle Bundesländer,1,1,1,1
2022-05-26,Alle Bundesländer,1,1,1,1
2022-06-06,Alle Bundesländer,1,1,1,1
2022-06-16,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2022-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2022-11-20,Sachsen,0,0,0,1
2023-01-01,Alle Bundesländer,1,1,1,1
2023-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2023-05-01,Alle Bundesländer,1,1,1,1
2023-10-03,Alle Bundesländer,1,1,1,1
2023-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2023-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2023-12-25,Alle Bundesländer,1,1,1,1
2023-12-26,Alle Bundesländer,1,1,1,1
2023-04-07,Alle Bundesländer,1,1,1,1
2023-04-10,Alle Bundesländer,1,1,1,1
2023-05-18,Alle Bundesländer,1,1,1,1
2023-05-29,Alle Bundesländer,1,1,1,1
2023-06-08,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2023-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2023-11-20,Sachsen,0,0,0,1
2024-01-01,Alle Bundesländer,1,1,1,1
2024-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2024-05-01,Alle Bundesländer,1,1,1,1
2024-10-03,Alle Bundesländer,1,1,1,1
2024-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2024-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2024-12-25,Alle Bundesländer,1,1,1,1
2024-12-26,Alle Bundesländer,1,1,1,1
2024-03-29,Alle Bundesländer,1,1,1,1
2024-04-01,Alle Bundesländer,1,1,1,1
2024-05-09,Alle Bundesländer,1,1,1,1
2024-05-20,Alle Bundesländer,1,1,1,1
2024-05-30,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2024-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2024-11-20,Sachsen,0,0,0,1
2025-01-01,Alle Bundesländer,1,1,1,1
2025-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2025-05-01,Alle Bundesländer,1,1,1,1
2025-10-03,Alle Bundesländer,1,1,1,1
2025-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2025-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2025-12-25,Alle Bundesländer,1,1,1,1
2025-12-26,Alle Bundesländer,1,1,1,1
2025-04-18,Alle Bundesländer,1,1,1,1
2025-04-21,Alle Bundesländer,1,1,1,1
2025-05-29,Alle Bundesländer,1,1,1,1
2025-06-09,Alle Bundesländer,1,1,1,1
2025-06-19,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2025-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2025-11-20,Sachsen,0,0,0,1
2026-01-01,Alle Bundesländer,1,1,1,1
2026-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2026-05-01,Alle Bundesländer,1,1,1,1
2026-10-03,Alle Bundesländer,1,1,1,1
2026-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2026-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2026-12-25,Alle Bundesländer,1,1,1,1
2026-12-26,Alle Bundesländer,1,1,1,1
2026-04-03,Alle Bundesländer,1,1,1,1
2026-04-06,Alle Bundesländer,1,1,1,1
2026-05-14,Alle Bundesländer,1,1,1,1
2026-05-25,Alle Bundesländer,1,1,1,1
2026-06-04,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2026-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2026-11-20,Sachsen,0,0,0,1
2027-01-01,Alle Bundesländer,1,1,1,1
2027-01-06,"Baden-Wuerttemberg, Bayern, Sachsen-Anhalt",0,0,1,1
2027-05-01,Alle Bundesländer,1,1,1,1
2027-10-03,Alle Bundesländer,1,1,1,1
2027-10-31,"Brandenburg, Bremen, Hamburg, Mecklenburg-Vorpommern, Niedersachsen, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen",0,0,0,1
2027-11-01,"Baden-Wuerttemberg, Bayern, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2027-12-25,Alle Bundesländer,1,1,1,1
2027-12-26,Alle Bundesländer,1,1,1,1
2027-03-26,Alle Bundesländer,1,1,1,1
2027-03-29,Alle Bundesländer,1,1,1,1
2027-05-06,Alle Bundesländer,1,1,1,1
2027-05-17,Alle Bundesländer,1,1,1,1
2027-05-27,"Baden-Wuerttemberg, Bayern, Hessen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland",0,0,1,0
2027-08-15,"Bayern (Catholic areas), Saarland",0,0,0,0
2027-11-20,Sachsen,0,0,0,1
